Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Mar,5-7,5/3/04,,Populus,TT,34.0,3.0,36.0,0.0,22.0,-3.0,-2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,10-11,10/3/04,16,ICM,GU,35.0,1.0,37.0,1.0,21.0,0.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,11-16,11/3/04,19,MORI,,35.0,0.0,35.0,-1.0,23.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,23-25,23/3/04,29,YouGov,DT,39.0,0.0,34.0,0.0,20.0,-1.0,5.0,0.0,,,,,,,,,,,,,,,,,,29.0,32.0,13.0,,29.0,60.0,-31.0,
,Apr,,1/4/04,4,YouGov,MoS,38.0,-1.0,35.0,1.0,20.0,0.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,2-4,2/4/04,6,Populus,TT,34.0,0.0,34.0,-2.0,22.0,0.0,0.0,2.0,,,,,,,,,,4.90,,,5.02,,,4.87,,,,,,,,,
,Apr,15-19,15/4/04,22,MORI,,34.0,-1.0,36.0,1.0,22.0,-1.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,16-18,16/4/04,20,ICM,GU,33.0,-2.0,38.0,1.0,22.0,1.0,-5.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,27-29,27/4/04,4,YouGov,DT,39.0,1.0,35.0,0.0,19.0,-1.0,4.0,1.0,,,,,,,,,,,,,,,,,,29.0,29.0,13.0,,25.0,63.0,-38.0,
,May,6-8,6/5/04,9,YouGov,MoS,40.0,1.0,36.0,1.0,18.0,-1.0,4.0,0.0,,,,,,,,57.0,29.0,28.0,38.0,60.0,-22.0,49.0,35.0,14.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,May,7-9,7/5/04,11,Populus,TT,36.0,2.0,32.0,-2.0,22.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-15,13/5/04,16,YouGov,ST,37.0,-3.0,34.0,-2.0,20.0,2.0,3.0,-1.0,,,,,,,,,,,,,,,,,,28.0,30.0,15.0,,28.0,61.0,-33.0,
,May,20-21,20/5/04,24,YouGov,DT,36.0,-1.0,33.0,-1.0,19.0,-1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,20-23,20/5/04,26,ICM,GU,33.0,0.0,37.0,-1.0,21.0,-1.0,-4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,25-27,25/5/04,29,YouGov,DT,34.0,-2.0,33.0,0.0,21.0,2.0,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,27-1,27/5/04,5,MORI,FT,34.0,0.0,35.0,-1.0,18.0,-4.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,2-4,2/6/04,6,YouGov,DT,35.0,1.0,35.0,2.0,17.0,-4.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,4-6,4/6/04,8,Populus,TT,29.0,-7.0,31.0,-1.0,22.0,0.0,-2.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,8-10?,8/6/04,10,YouGov,MoS?,36.0,1.0,32.0,-3.0,18.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,26.0,31.0,12.0,,27.0,62.0,-35.0,
,Jun,11-13,11/6/04,15,ICM,GU,31.0,-2.0,34.0,-3.0,22.0,1.0,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,18-20,18/6/04,,MORI,,29.0,-5.0,29.0,-6.0,23.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,22-24,22/6/04,,YouGov,DT,34.0,-2.0,33.0,1.0,21.0,3.0,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-29,24/6/04,2,MORI,,31.0,2.0,34.0,5.0,19.0,-4.0,-3.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,2-4,2/7/04,6,Populus,TT,29.0,0.0,33.0,2.0,24.0,2.0,-4.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,8-10,8/7/04,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,45.0,41.0,4.0,40.0,57.0,-17.0,49.0,36.0,13.0,Do you think (name) is doing well or badly as (position)?,24.0,32.0,15.0,,27.0,60.0,-33.0,
,Jul,16,16/7/04,18,NOP,SE,26.0,,37.0,,24.0,,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,16-17,16/7/04,18,YouGov,ST,33.0,-1.0,33.0,0.0,22.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,16-18,16/7/04,20,ICM,GU,30.0,-1.0,35.0,1.0,25.0,3.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,21-23,21/7/04,25,Populus,NoW,28.0,-1.0,30.0,-3.0,28.0,4.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,22-27,22/7/04,1,MORI,IoS,31.0,0.0,32.0,-2.0,24.0,5.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,26-28,26/7/04,30,YouGov,DT,33.0,0.0,34.0,1.0,23.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,30-1,30/7/04,3,Populus,TT,32.0,4.0,32.0,2.0,24.0,-4.0,0.0,2.0,,,,,,,,,,4.52,,,4.90,,,5.04,,,,,,,,,
,Aug,12-16,12/8/04,20,MORI,FT,32.0,1.0,36.0,4.0,21.0,-3.0,-4.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,13-15,13/8/04,18,ICM,GU,33.0,3.0,36.0,1.0,22.0,-3.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,24-26,24/8/04,27,YouGov,DT,34.0,1.0,34.0,0.0,21.0,-2.0,0.0,1.0,,,,,,,,,,,,,,,,,,23.0,33.0,14.0,,29.0,57.0,-28.0,
,Sep,3-5,3/9/04,7,Populus,TT,30.0,-2.0,32.0,0.0,26.0,2.0,-2.0,-2.0,,,,,,,,,,4.44,,,4.84,,,5.05,,,,,,26.0,59.0,,
,Sep,10-11,10/9/04,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,38.0,47.0,-9.0,41.0,57.0,-16.0,53.0,30.0,23.0,Do you think (name) is doing well or badly as (position)?,22.0,30.0,14.0,,26,59.0,-33.0,
,Sep,10-14,10/9/04,26,MORI,OB,33.0,1.0,32.0,4.0,25.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,17-19,17/9/04,22,ICM,GU,32.0,-1.0,36.0,0.0,22.0,0.0,-4.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,,19/9/04,,ICM,New Frontiers,31.0,-1.0,33.0,-3.0,25.0,3.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,21-23,21/9/04,27,YouGov,DT,34.0,0.0,36.0,2.0,21.0,0.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,23-24,23/9/04,26,CommR,IoS,30.0,,32.0,,27.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,23-24,23/9/04,26,Populus,NoW,32.0,2.0,28.0,-4.0,29.0,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,30-2,30/9/04,5,Populus,TT,28.0,-4.0,35.0,7.0,25.0,-4.0,-7.0,-11.0,,,,,,,,,,4.15,,,5.31,,,4.98,,,,,,,,,
,Oct,1-2,1/10/04,10,YouGov,MoS,29.0,-5.0,35.0,-1.0,22.0,1.0,-6.0,-4.0,,,,,,,,28.0,56.0,-28.0,45.0,53.0,-8.0,56.0,27.0,29.0,Do you think (name) is doing well or badly as (position)?,21.0,32.0,14.0,,27.0,59.0,-32.0,
,Oct,,6/10/04,9,NOP,IoS,34.0,,36.0,,21.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,6-7,6/10/04,10,ICM,DT,30.0,-1.0,39.0,6.0,23.0,-2.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,21-27,21/10/04,,MORI,,29.0,-4.0,39.0,7.0,22.0,-3.0,-10.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,22-24,22/10/04,27,ICM,GU,31.0,-1.0,37.0,1.0,23.0,1.0,-6.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,26-28,26/10/04,29,YouGov,DT,32.0,3.0,36.0,1.0,22.0,0.0,-4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,27-28,27/10/04,31,CommR,IoS,33.0,3.0,39.0,7.0,17.0,-10.0,-6.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,4-8,4/11/04,,MORI,,31.0,2.0,35.0,-4.0,23.0,1.0,-4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,5-7,5/11/04,9,Populus,TT,33.0,5.0,34.0,-1.0,22.0,-3.0,-1.0,6.0,,,,,,,,,,4.54,,,4.85,,,5.05,,,,,,,,,
,Nov,12-14,12/11/04,17,NOP,Ind,30.0,-4.0,39.0,3.0,20.0,-1.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,12-14,12/11/04,18,ICM,GU,30.0,-1.0,38.0,1.0,22.0,-1.0,-8.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,23-25,23/11/04,26,YouGov,DT,32.0,0.0,35.0,-1.0,23.0,1.0,-3.0,1.0,,,,,,,,,,,,,,,,,,19.0,31.0,16.0,,29.0,57.0,-28.0,
,Nov,24-25,24/11/04,28,CommR,IoS,31.0,-2.0,42.0,3.0,20.0,3.0,-11.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,2-6,2/12/04,,MORI,,27.0,-4.0,40.0,5.0,24.0,1.0,-13.0,-9.0,F2F,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,3-5,3/12/04,7,Populus,TT,33.0,0.0,37.0,3.0,20.0,-2.0,-4.0,-3.0,,Change of methodology,,,,,,,,,,,,,,,,,,,,,,,
,Dec,14-16,14/12/04,17,YouGov,DT,32.0,0.0,35.0,0.0,21.0,-2.0,-3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,14-16,14/12/04,19,CommR,IoS,34.0,3.0,39.0,-3.0,19.0,-1.0,-5.0,6.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,16-18,16/12/04,19,YouGov,ST,32.0,0.0,35.0,0.0,23.0,2.0,-3.0,0.0,,,,,,,,,,,,,,,,,,20.0,31.0,15.0,,27.0,57.0,-30.0,
,Dec,16-19,16/12/04,21,ICM,GU,31.0,1.0,40.0,2.0,21.0,-1.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,,,,30.0,57.0,,
2005,Jan,2-6,2/1/05,,MORI,,30.0,3.0,35.0,-5.0,26.0,2.0,-5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,5-6,5/1/05,9,ICM,NoW,31.0,0.0,38.0,-2.0,21.0,0.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,7-9,7/1/05,11,Populus,TT,33.0,0.0,38.0,1.0,20.0,0.0,-5.0,-1.0,,,,,,,,,,4.58,,,5.07,,,4.95,,,,,,,,,
,Jan,7-9,7/1/05,11,NOP,Ind,32.0,2.0,38.0,-1.0,21.0,1.0,-6.0,0.0,,Figures weighted for turnout (not as per main story covering poll),,,,,,,,,,,,,,,,,,,,,,,
,Jan,20-22,20/1/05,23,YouGov,ST,31.0,-1.0,34.0,-1.0,25.0,2.0,-3.0,0.0,,,,,,,,31.0,56.0,-25.0,40.0,56.0,-16.0,60.0,23.0,37.0,Do you think (name) is doing well or badly as (position)?,21.0,32.0,14.0,,30,57.0,-27.0,
,Jan,20-24,20/1/05,30,MORI,OB,32.0,2.0,38.0,3.0,22.0,-4.0,-6.0,-1.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Jan,21-23,21/1/05,25,ICM,GU,31.0,0.0,38.0,0.0,21.0,0.0,-7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,25-27,25/1/05,28,YouGov,DT,34.0,3.0,35.0,1.0,22.0,-3.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,26-27,26/1/05,30,CommR,IoS,32.0,-2.0,40.0,1.0,20.0,1.0,-8.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,26-27,26/1/05,30,ICM,STel,32.0,1.0,37.0,-1.0,21.0,0.0,-5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,26-28,26/1/05,1,YouGov,DT,33.0,-1.0,35.0,0.0,23.0,1.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,3-5,3/2/05,6,YouGov,MoS,33.0,0.0,34.0,-1.0,23.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,4-6,4/2/05,8,Populus,TT,32.0,-1.0,41.0,3.0,18.0,-2.0,-9.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,11-13,11/2/05,16,NOP,Ind,30.0,-2.0,42.0,4.0,18.0,-3.0,-12.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,17-21,17/2/05,23,MORI,FT,37.0,5.0,39.0,1.0,18.0,-4.0,-2.0,4.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Feb,18-20,18/2/05,22,ICM,GU,34.0,2.0,37.0,0.0,21.0,0.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,22-24,22/2/05,25,YouGov,DT,32.0,-1.0,38.0,4.0,21.0,-2.0,-6.0,-5.0,,,,,,,,,,,,,,,,,,23.0,32.0,18.0,,32.0,55.0,-23.0,
,Feb,23-24,23/2/05,27,CommR,IoS,34.0,2.0,41.0,1.0,17.0,-3.0,-7.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,4-6,4/3/05,8,Populus,TT,32.0,0.0,39.0,-2.0,20.0,2.0,-7.0,2.0,,Note: Times graphic had wrong figure for LDs,,,,,,,,,,,,,,,,,,,,,,,
,Mar,11-13,11/3/05,15,NOP,Ind,34.0,4.0,39.0,-3.0,19.0,1.0,-5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,17-19,17/3/05,20,YouGov,ST,32.0,0.0,37.0,-1.0,23.0,2.0,-5.0,1.0,,,,,,,,40.0,47.0,-7.0,46.0,50.0,-4.0,55.0,29.0,26.0,Do you think (name) is doing well or badly as (position)?,26.0,34.0,16.0,,,,,
,Mar,17-22,17/3/05,24,MORI,FT,37.0,0.0,37.0,-2.0,20.0,2.0,0.0,2.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Mar,18-20,18/3/05,22,ICM,GU,32.0,-2.0,40.0,3.0,20.0,-1.0,-8.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,21-24,21/3/05,25,YouGov,DT,34.0,2.0,35.0,-2.0,22.0,-1.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,22-23,22/3/05,27,CommR,IoS,31.0,-3.0,43.0,2.0,17.0,0.0,-12.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,24-25,24/3/05,3,CommR,IoS,34.0,3.0,40.0,-3.0,16.0,-1.0,-6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,,30/3/05,3,YouGov,ST,34.0,0.0,36.0,1.0,22.0,0.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,1-3,1/4/05,5,MORI,FT,39.0,,34.0,,21.0,,5.0,,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,1-3,1/4/05,5,Populus,TT,35.0,3.0,37.0,-2.0,19.0,-1.0,-2.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,1-3,1/4/05,5,NOP,Ind,33.0,-1.0,36.0,-3.0,21.0,2.0,-3.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,1-3,1/4/05,5,ICM,GU,34.0,2.0,37.0,-3.0,21.0,1.0,-3.0,5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,5,5/4/05,6,YouGov,Sky,36.0,2.0,36.0,0.0,21.0,-1.0,0.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,5-6,5/4/05,8,YouGov,DT,35.0,-1.0,36.0,0.0,21.0,0.0,-1.0,-1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,7-8,7/4/05,10,ICM,STel,34.0,0.0,38.0,1.0,20.0,-1.0,-4.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,7-9,7/4/05,10,MORI,OB/SMirror,33.0,-6.0,40.0,6.0,19.0,-2.0,-7.0,-12.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,7-9,7/4/05,10,YouGov,ST,35.0,0.0,37.0,1.0,21.0,0.0,-2.0,-1.0,Internet,,,,,,,40.0,46.0,-6.0,46.0,50.0,-4.0,60.0,25.0,35.0,Do you think (name) is doing well or badly as (position)?,25.0,37.0,15.0,,,,,
,Apr,7-11,7/4/05,13,MORI,ES,35.0,-2.0,39.0,2.0,21.0,1.0,-4.0,-4.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,?-9,8/4/05,10,BPIX,MoS,34.0,,37.0,,22.0,,-3.0,0.0,,All voters,,,,,,,,,,,,,,,,,,,,,,,
,Apr,8-10,8/4/05,11,YouGov,DT,36.0,1.0,36.0,-1.0,20.0,1.0,0.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,8-10,8/4/05,12,NOP,Ind,32.0,-1.0,38.0,2.0,21.0,0.0,-6.0,-3.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,9,9/4/05,11,ICM,DM/GMTV,33.0,-1.0,38.0,0.0,22.0,2.0,-5.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,10-12,10/4/05,14,ICM,GU,33.0,0.0,39.0,1.0,21.0,-1.0,-6.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,11-15,11/4/05,17,CommR,IoS,34.0,0.0,40.0,0.0,20.0,4.0,-6.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,12-14,12/4/05,15,YouGov,DT,33.0,-3.0,38.0,2.0,22.0,2.0,-5.0,-5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,13-15,13/4/05,17,ICM,STel,30.0,-3.0,40.0,1.0,22.0,1.0,-10.0,-4.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,14-15,14/4/05,17,BPIX,MoS,33.0,-1.0,36.0,-1.0,22.0,0.0,-3.0,0.0,Internet,All voters,,,,,,,,,,,,,,,,,,,,,,,
,Apr,14-16,14/4/05,17,YouGov,ST,35.0,2.0,36.0,-2.0,23.0,1.0,-1.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,14-17,14/4/05,19,Populus,TT,31.0,-4.0,40.0,3.0,21.0,2.0,-9.0,-7.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/05,18,YouGov,DT,33.0,-2.0,36.0,0.0,23.0,0.0,-3.0,-2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-17,15/4/05,19,NOP,Ind,32.0,0.0,37.0,-1.0,21.0,0.0,-5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-18,15/4/05,19,MORI,FT,32.0,-1.0,40.0,0.0,21.0,2.0,-8.0,-1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,15-18,15/4/05,19/20,Populus,TT / ITV,33.0,2.0,39.0,-1.0,21.0,0.0,-6.0,3.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,16,16/4/05,18,ICM,DM/GMTV,33.0,3.0,41.0,1.0,20.0,-2.0,-8.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,16-19,16/4/05,20/21,Populus,TT/ITV,33.0,0.0,39.0,0.0,21.0,0.0,-6.0,0.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17-19,17/4/05,21,ICM,GU,33.0,0.0,39.0,-2.0,22.0,2.0,-6.0,2.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17-20,17/4/05,21/22,Populus,TT / ITV,34.0,1.0,39.0,0.0,20.0,-1.0,-5.0,1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,18-19,18/4/05,22,MORI,Sun,32.0,0.0,39.0,-1.0,22.0,1.0,-7.0,1.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,18-21,18/4/05,22/23,Populus,TT / ITV,33.0,-1.0,40.0,1.0,20.0,0.0,-7.0,-2.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,19-21,19/4/05,22,YouGov,DT,34.0,1.0,37.0,1.0,22.0,-1.0,-3.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,19-22,19/4/05,24,CommR,IoS,35.0,1.0,40.0,0.0,18.0,-2.0,-5.0,1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,19-22,19/4/05,23/24,Populus,TT / ITV,33.0,0.0,41.0,1.0,20.0,0.0,-8.0,-1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,20-22,20/4/05,24,ICM,STel,33.0,0.0,39.0,0.0,21.0,-1.0,-6.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,20-23,20/4/05,24/25,Populus,TT / ITV,32.0,-1.0,41.0,0.0,20.0,0.0,-9.0,-1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-22,21/4/05,24,BPIX,MoS,33.0,0.0,36.0,0.0,22.0,0.0,-3.0,0.0,Internet,All voters,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-23,21/4/05,24,YouGov,ST ,33.0,-1.0,37.0,0.0,23.0,1.0,-4.0,-1.0,Internet,,,,,,YouGov website says fieldwork for leaders 22-23,39.0,53.0,-14.0,47.0,50.0,-3.0,61.0,27.0,34.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Apr,21-24,21/4/05,25/26,Populus,TT / ITV,33.0,1.0,41.0,0.0,19.0,-1.0,-8.0,1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-25,21/4/05,27,MORI,FT,34.0,-1.0,36.0,-3.0,23.0,2.0,-2.0,2.0,F2F,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,22-24,22/4/05,25,YouGov,DT,33.0,0.0,37.0,0.0,24.0,1.0,-4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,22-24,22/4/05,26,NOP,Ind,30.0,-2.0,40.0,3.0,21.0,0.0,-10.0,-5.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,22-25,22/4/05,26/27,Populus,TT / ITV,31.0,-2.0,40.0,-1.0,21.0,2.0,-9.0,-1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,23,23/4/05,25,ICM,DM/GMTV,33.0,0.0,39.0,0.0,20.0,-1.0,-6.0,0.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,23-26,23/4/05,27/28,Populus,TT / ITV,31.0,0.0,40.0,0.0,21.0,0.0,-9.0,0.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,23-28,23/4/05,1,CommR,IoS,31.0,-4.0,39.0,-1.0,23.0,5.0,-8.0,-3.0,F2F,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,24-26,24/4/05,28,ICM,GU,33.0,0.0,40.0,1.0,20.0,0.0,-7.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,24-27,24/4/05,28/29,Populus,TT / ITV,32.0,1.0,40.0,0.0,21.0,0.0,-8.0,1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,25-28,25/4/05,29/30,Populus,TT / ITV,31.0,-1.0,40.0,0.0,22.0,1.0,-9.0,-1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,26-29,26/4/05,30/1,Populus,TT / ITV,31.0,0.0,40.0,0.0,21.0,-1.0,-9.0,0.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,26-28,26/4/05,29,YouGov,DT,32.0,-1.0,36.0,-1.0,24.0,0.0,-4.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,27-29,27/4/05,1,ICM,STel ,31.0,-2.0,39.0,-1.0,22.0,2.0,-8.0,-1.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,27-30,27/4/05,1/2,Populus,TT / ITV,29.0,-2.0,42.0,2.0,21.0,0.0,-13.0,-4.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-29,28/4/05,1,MORI,OB/SMirror,33.0,1.0,36.0,-3.0,22.0,0.0,-3.0,4.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-30,28/4/05,1,YouGov,ST ,33.0,1.0,36.0,0.0,23.0,-1.0,-3.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-30,28/4/05,1,BPIX,MoS,31.0,-2.0,38.0,2.0,22.0,0.0,-7.0,-4.0,Internet,All voters,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-1,28/4/05,2-3,Populus,TT / ITV,29.0,0.0,41.0,-1.0,21.0,0.0,-12.0,1.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,Apr,29-1,29/4/05,2,YouGov,DT,33.0,0.0,36.0,0.0,24.0,1.0,-3.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,29-1,29/4/05,3,MORI,FT,29.0,-4.0,39.0,3.0,22.0,0.0,-10.0,-7.0,Phone,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Apr,29-2,29/4/05,3-4,Populus,TT / ITV,27.0,-2.0,41.0,0.0,23.0,2.0,-14.0,-2.0,Phone,Rolling poll,,,,,,,,,,,,,,,,,,,,,,,
,May,1-2,1/5/05,4,Harris,,34.0,,38.0,,22.0,,-4.0,,Internet,Certain to vote,,,,,,,,,,,,,,,,,,,,,,,
