Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,Question,Con Best PM,Lab Best PM,LD Best PM,Question,Govt good,Govt bad,Govt net,Question
,Jun,21-24,21/6/02,27,NOP,DT,31.0,,41.0,,19.0,,-10.0,,,,,,,,,,,,,,,,,,,19.0,38.0,16.0,,36.0,43.0,-7.0,
,Jul,4-5,4/7/02,7,YouGov,MoS,34.0,-1.0,39.0,1.0,20.0,0.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,18-22,18/7/02,26,MORI,,27.0,-2.0,48.0,0.0,18.0,1.0,-21.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,25-26,25/7/02,28,YouGov,ST,34.0,0.0,40.0,1.0,20.0,0.0,-6.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,26-27,26/7/02,30,ICM,GU,33.0,1.0,42.0,0.0,20.0,0.0,-9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,1-2,1/8/02,4,YouGov,MoS,34.0,0.0,40.0,0.0,20.0,0.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,21-23,21/8/02,25,YouGov,ST,33.0,-1.0,40.0,0.0,20.0,0.0,-7.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,22-28,22/8/02,,MORI,,25.0,-2.0,53.0,5.0,16.0,-2.0,-28.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,23-25,23/8/02,28,ICM,GU,32.0,-1.0,41.0,-1.0,21.0,1.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,29-30,29/8/02,1,YouGov,ST,33.0,0.0,39.0,-1.0,21.0,1.0,-6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,19-24,19/9/02,,MORI,,27.0,2.0,53.0,0.0,15.0,-1.0,-26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,20-22,20/9/02,24,ICM,GU,34.0,2.0,39.0,-2.0,20.0,-1.0,-5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,25-27,25/9/02,29,YouGov,ST,32.0,-1.0,40.0,1.0,22.0,1.0,-8.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,27-30,27/9/02,4,NOP,DT,28.0,-3.0,41.0,0.0,21.0,2.0,-13.0,-3.0,,,,,,,,,,,,,,,,,,11.0,36.0,19.0,,34.0,46.0,-12.0,
,Oct,1-3,1/10/02,7,YouGov,DT,31.0,-1.0,40.0,0.0,22.0,0.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,2-3,2/10/02,6,ICM,NoW,27.0,-7.0,42.0,3.0,23.0,3.0,-15.0,-10.0,,Note: headline reported figure of C and LD both on 24 incl people who wouldn't vote at GE,,,,,,,,,,,,,,,,,,,,,,,
,Oct,11-12,11/10/02,13,YouGov,MoS,33.0,2.0,40.0,0.0,20.0,-2.0,-7.0,2.0,,,,,,,,31.0,65.0,-34.0,57.0,41.0,16.0,60.0,30.0,30.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Oct,17-21,17/10/02,,MORI,,25.0,-2.0,57.0,4.0,13.0,-2.0,-32.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,18-20,18/10/02,22,ICM,GU,32.0,5.0,43.0,1.0,20.0,-3.0,-11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,23-25,23/10/02,27,YouGov,ST,31.0,-2.0,40.0,0.0,22.0,1.0,-9.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,31-1,31/10/02,3,YouGov,MoS,31.0,0.0,40.0,0.0,21.0,-1.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,6-7,6/11/02,10,ICM,STel,29.0,-3.0,43.0,0.0,21.0,1.0,-14.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,,7/11/02,10,ICM,NoW,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,14-16,14/11/02,17,YouGov,ST,31.0,0.0,41.0,1.0,21.0,0.0,-10.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,14-19,14/11/02,25,MORI,FT,30.0,3.0,42.0,-6.0,21.0,3.0,-12.0,9.0,,Certain to vote figures for MORI from here on,,,,,,,,,,,,,,,,,,,,,,,
,Nov,15-17,15/11/02,19,ICM,GU,29.0,0.0,42.0,,22.0,,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,20-22,20/11/02,24,YouGov,ST,30.0,-1.0,39.0,-2.0,23.0,2.0,-9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,28-29,28/11/02,1,YouGov,MoS,31.0,1.0,40.0,1.0,21.0,-2.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,5-6,5/12/02,8,YouGov,MoS,31.0,0.0,38.0,-2.0,23.0,2.0,-7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,12-17,12/12/02,28,MORI,FT,33.0,3.0,37.0,-5.0,24.0,3.0,-4.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,13-15,13/12/02,17,ICM,GU,27.0,-2.0,41.0,-1.0,23.0,1.0,-14.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,19-20,19/12/02,22,YouGov,ST,32.0,1.0,39.0,1.0,21.0,-2.0,-7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Jan,3-4,3/1/03,6,Live St,TT,32.0,,37.0,,25.0,,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,3-4,3/1/03,5,YouGov,MoS,31.0,-1.0,38.0,-1.0,23.0,2.0,-7.0,0.0,,,,,,,,19.0,75.0,-56.0,48.0,51.0,-3.0,62.0,26.0,36.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Jan,16-17,16/1/03,19,YouGov,MoS,31.0,0.0,37.0,-1.0,25.0,2.0,-6.0,1.0,,,,,,,,20.0,72.0,-52.0,42.0,57.0,-15.0,59.0,28.0,31.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Jan,17-19,17/1/03,22,ICM,GU,30.0,3.0,43.0,2.0,21.0,-2.0,-13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,23-24,23/1/03,26,YouGov,ST,31.0,0.0,37.0,0.0,24.0,-1.0,-6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,23-27,23/1/03,,MORI,,31.0,-2.0,40.0,3.0,22.0,-2.0,-9.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,28-30,28/1/03,31,YouGov,DT,32.0,1.0,36.0,-1.0,24.0,0.0,-4.0,2.0,,,,,,,,,,,,,,,,,,15.0,33.0,22.0,,28.0,62.0,-34.0,
,Feb,7-8,7/2/03,9,YouGov,MoS,32.0,0.0,37.0,1.0,24.0,0.0,-5.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,7-9,7/2/03,11,Populus,TT,34.0,,35.0,,25.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,14-16,14/2/03,18,ICM,GU,31.0,1.0,39.0,-4.0,22.0,1.0,-8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,17-18,17/2/03,19,YouGov,DT,33.0,1.0,34.0,-3.0,26.0,2.0,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,20-21,20/2/03,23,YouGov,ST,33.0,0.0,35.0,1.0,25.0,-1.0,-2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,20-25,20/2/03,3,MORI,FT,29.0,-2.0,41.0,1.0,22.0,0.0,-12.0,-3.0,,Note: MORI figures are for certain to vote,,,,,,,,,,,,,,,,,,,,,,,
,Feb,25-26,25/2/03,5,YouGov,DT,31.0,-2.0,35.0,0.0,26.0,1.0,-4.0,-2.0,,,,,,,,15.0,65.0,-50.0,34.0,59.0,-25.0,,,,,12.0,36.0,23.0,,31.0,61.0,-30.0,
,Mar,7-9,7/3/03,12,Populus,TT,34.0,0.0,34.0,-1.0,24.0,-1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,14-16,14/3/03,18,ICM,GU,32.0,1.0,38.0,-1.0,24.0,2.0,-6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,20-24,20/3/03,28,MORI,,29.0,0.0,43.0,2.0,21.0,-1.0,-14.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,26-27,26/3/03,28,YouGov,DT,33.0,2.0,40.0,5.0,20.0,-6.0,-7.0,-3.0,,,,,,,,,,,,,,,,,,14.0,43.0,15.0,,37.0,54.0,-17.0,
,Apr,3-4,3/4/03,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,32.0,57.0,-25.0,57.0,42.0,15.0,48.0,39.0,9.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Apr,10-11,10/4/03,13,YouGov,MoS,33.0,0.0,41.0,1.0,18.0,-2.0,-8.0,-1.0,,,,,,,,32.0,61.0,-29.0,62.0,36.0,26.0,49.0,38.0,11.0,Do you think (name) is doing well or badly as (position)?,,,,,,,,
,Apr,10-12,10/4/03,14,Populus,TT,29.0,-5.0,41.0,7.0,22.0,-2.0,-12.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,17-19,17/4/03,22,ICM,GU,30.0,-2.0,42.0,4.0,21.0,-3.0,-12.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,22-24,22/4/03,28,YouGov,DT,32.0,-1.0,40.0,-1.0,21.0,3.0,-8.0,0.0,,,,,,,,,,,,,,,,,,14.0,42.0,15.0,,36.0,54.0,-18.0,
,Apr,24-28,24/4/03,30,MORI,,29.0,0.0,43.0,0.0,21.0,0.0,-14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,2-4,2/5/03,6,Populus,TT,34.0,5.0,36.0,-5.0,22.0,0.0,-2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,16-18,16/5/03,21,ICM,GU,29.0,-1.0,41.0,-1.0,21.0,0.0,-12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,22-28,22/5/03,8,MORI,,31.0,2.0,39.0,-4.0,22.0,1.0,-8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,May,28-29,28/5/03,30,YouGov,DT,36.0,4.0,37.0,-3.0,20.0,-1.0,-1.0,7.0,,,,,,,,,,,,,,,,,,19.0,38.0,15.0,,31.0,58.0,-27.0,
,Jun,13-15,13/6/03,17,Populus,TT,33.0,-1.0,37.0,1.0,20.0,-2.0,-4.0,-2.0,,Methodology change,,,,,,,,,,,,,,,,,,,,,,,
,Jun,19-20,19/6/03,22,YouGov,MoS,36.0,0.0,37.0,0.0,20.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,19-24,19/6/03,,MORI,,32.0,1.0,41.0,2.0,19.0,-3.0,-9.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,20-22,20/6/03,24,ICM,GU,34.0,5.0,38.0,-3.0,21.0,0.0,-4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,24-26,24/6/03,27,YouGov,DT,37.0,1.0,35.0,-2.0,21.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,21.0,34.0,18.0,,29.0,62.0,-33.0,
,Jun,26-27,26/3/03,29,MORI,NoW,35.0,,35.0,,19.0,,0.0,9.0,Phone,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,4-6,4/7/03,8,Populus,TT,34.0,1.0,36.0,-1.0,21.0,1.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,7-8,7/7/03,22,MORI,Sun,35.0,0.0,38.0,3.0,19.0,0.0,-3.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,17-22,17/7/03,4,MORI,,38.0,6.0,35.0,-6.0,21.0,2.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,18-20,18/7/03,22,ICM,GU,34.0,0.0,36.0,-2.0,22.0,1.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,22-24,22/7/03,25,YouGov,DT,37.0,0.0,34.0,-1.0,22.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,21.0,31.0,18.0,,26.0,63.0,-37.0,
,Aug,1-3,1/8/03,5,Populus,TT,32.0,-2.0,34.0,-2.0,25.0,4.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,7-8,7/8/03,10,YouGov,MoS,38.0,1.0,34.0,0.0,21.0,-1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,15-17,15/8/03,19,ICM,GU,32.0,-2.0,37.0,1.0,22.0,0.0,-5.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,26-28,26/8/03,29,YouGov,DT,37.0,-1.0,35.0,1.0,20.0,-1.0,2.0,-2.0,,,,,,,,,,,,,,,,,,19.0,30.0,18.0,,26.0,63.0,-37.0,
,Aug,28-2,28/8/03,10,MORI,FT,34.0,-4.0,36.0,1.0,24.0,3.0,-2.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,4-5,4/9/03,7,YouGov,MoS,37.0,0.0,36.0,1.0,18.0,-2.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
