Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
,Mar,9-10,9/3/21,17,YouGov,TT,42.0,-3.0,33.0,1.0,7.0,1.0,6.0,-1.0,3.0,0.0,,,9.0,4.0,Internet,,,,,,,,,,,,,,,,,,,,34.0,29.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Mar,11-12,11/3/21,14,Opinium,Ob,43.0,0.0,37.0,1.0,6.0,-1.0,4.0,0.0,0.0,-1.0,1.0,1.0,6.0,-1.0,Internet,,,,45.0,38.0,7.0,34.0,29.0,5.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,37.0,25.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Mar,12-14,12/3/21,17,Savanta ComRes,,39.0,-3.0,37.0,1.0,8.0,0.0,4.0,0.0,3.0,0.0,,,2.0,-4.0,Internet,UK,,,40.0,37.0,3.0,27.0,34.0,-7.0,16.0,23.0,-7.0,,,,,,,To what extent do you feel favourably or unfavourably towards…,44.0,27.0,,,,Which of the following politicians do you think would make the best PM?,35.0,36.0,-1.0,To what extent do you feel favourably or unfavourably towards…,,,,
,Mar,12-16,12/3/21,20,NCP,,42.0,-1.0,37.0,0.0,7.0,2.0,5.0,0.0,2.0,-1.0,,,5.0,-1.0,Internet,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,13-15,13/3/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,45.0,48.0,-3.0,32.0,45.0,-13.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,37.0,44.0,-7.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,15,15/3/21,16,R+W,,43.0,-2.0,36.0,0.0,7.0,0.0,5.0,1.0,3.0,0.0,,,7.0,-2.0,Internet,,,,44.0,31.0,13.0,32.0,25.0,7.0,17.0,20.0,-3.0,,,,18.0,19.0,-1.0,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",48.0,28.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Mar,16-19,16/3/21,23,BMG,Ind,39.0,,37.0,,9.0,,6.0,,3.0,,,,2.0,,Internet,,,,38.0,44.0,-6.0,29.0,27.0,2.0,10.0,17.0,-7.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,35.0,28.0,,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister?",,,,,,,,
,Mar,18-19,18/3/21,24,YouGov,TT,43.0,1.0,34.0,1.0,5.0,-2.0,7.0,1.0,3.0,0.0,,,9.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,35.0,29.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Mar,19-21,19/3/21,26,Savanta ComRes,,42.0,3.0,38.0,1.0,6.0,-2.0,3.0,-1.0,2.0,-1.0,,,4.0,2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,20-22,20/3/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,42.0,-5.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,22,22/3/21,22,R+W,,42.0,-1.0,36.0,0.0,9.0,2.0,6.0,1.0,2.0,-1.0,,,6.0,-1.0,Internet,,,,47.0,29.0,18.0,32.0,23.0,9.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",50.0,26.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Mar,25-26,25/3/21,28,Opinium,Ob,41.0,-2.0,37.0,0.0,6.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,-2.0,Internet,,,,42.0,41.0,1.0,30.0,35.0,-5.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,33.0,27.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Mar,25-26,25/3/21,30,YouGov,TT,42.0,-1.0,32.0,-2.0,8.0,3.0,7.0,0.0,3.0,0.0,,,10.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,37.0,27.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Mar,25-27,25/3/21,28,Deltapoll,MoS,44.0,2.0,36.0,-2.0,6.0,0.0,4.0,0.0,3.0,0.0,4.0,1.0,8.0,4.0,Internet,,,,52.0,44.0,8.0,44.0,41.0,3.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
,Mar,25-29,25/3/21,1,Kantar,,42.0,2.0,34.0,1.0,9.0,-2.0,4.0,-2.0,2.0,-1.0,1.0,-1.0,8.0,1.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,26-29,26/3/21,1,Ipsos,,,,,,,,,,,,,,,,Internet,,,,38.0,40.0,-2.0,26.0,37.0,-11.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Mar,27-29,27/3/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,44.0,-9.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,29,29/3/21,29,R+W,,44.0,2.0,36.0,0.0,7.0,-2.0,4.0,-2.0,2.0,0.0,,,8.0,2.0,Internet,,,,45.0,34.0,11.0,30.0,28.0,2.0,15.0,19.0,-4.0,,,,17.0,18.0,-1.0,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",47.0,28.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Mar,31-1,31/3/21,7,YouGov,TT,42.0,0.0,34.0,2.0,7.0,-1.0,6.0,-1.0,3.0,0.0,,,8.0,-2.0,Internet,,,,46.0,47.0,-1.0,35.0,46.0,-11.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,35.0,29.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Apr,2-4,2/4/21,6,Savanta ComRes,,42.0,0.0,35.0,-3.0,8.0,2.0,3.0,0.0,2.0,0.0,,,7.0,3.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,3-5,3/4/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,42.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,5,5/4/21,5,R+W,,44.0,0.0,34.0,-2.0,9.0,2.0,5.0,1.0,2.0,0.0,,,10.0,2.0,Internet,,,,47.0,32.0,15.0,29.0,27.0,2.0,17.0,22.0,-5.0,,,,19.0,19.0,0.0,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",48.0,28.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Apr,7-8,7/4/21,12,YouGov,TT,41.0,-1.0,34.0,0.0,6.0,0.0,6.0,0.0,3.0,0.0,,,7.0,-1.0,Internet,,,,40.0,51.0,-11.0,36.0,43.0,-7.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,35.0,29.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Apr,8-9,8/4/21,11,Opinium,Ob,45.0,4.0,36.0,-1.0,6.0,0.0,4.0,-1.0,0.0,-1.0,1.0,-1.0,9.0,5.0,Internet,,,,41.0,38.0,3.0,32.0,30.0,2.0,16.0,23.0,-7.0,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,38.0,25.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Apr,8-10,8/4/21,11,Deltapoll,MoS,45.0,1.0,36.0,0.0,6.0,0.0,4.0,0.0,4.0,1.0,2.0,-2.0,9.0,1.0,Internet,,,,56.0,40.0,16.0,44.0,39.0,5.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
,Apr,8-10,8/4/21,16,Survation,,43.0,0.0,35.0,2.0,8.0,-1.0,4.0,-1.0,,,,,8.0,-2.0,Internet,UK,,,42.0,41.0,1.0,33.0,37.0,-4.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,46.0,32.0,,,,Which of the following party leaders do you think would make the best PM?,43.0,40.0,3.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,Apr,9-11,9/4/21,14,Savanta ComRes,,42.0,0.0,35.0,0.0,7.0,-1.0,4.0,1.0,2.0,0.0,,,7.0,0.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,10-12,10/4/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,46.0,47.0,-1.0,26.0,50.0,-24.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,38.0,40.0,-2.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,12,12/4/21,12,R+W,,43.0,-1.0,36.0,2.0,7.0,-2.0,5.0,0.0,3.0,1.0,,,7.0,-3.0,Internet,,,,43.0,34.0,9.0,29.0,27.0,2.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",47.0,28.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Apr,13-14,12/4/21,16,YouGov,TT,43.0,2.0,29.0,-5.0,8.0,2.0,8.0,2.0,3.0,0.0,,,14.0,7.0,Internet,,,,,,,,,,,,,,,,,,,,34.0,26.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Apr,15-19,15/4/21,22,Survation,,40.0,-3.0,34.0,-1.0,9.0,1.0,7.0,3.0,,,,,6.0,-2.0,Internet,UK,,,42.0,43.0,-1.0,34.0,36.0,-2.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,43.0,34.0,,,,Which of the following party leaders do you think would make the best PM?,38.0,44.0,-6.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,Apr,16-18,16/4/21,20,Savanta ComRes,,43.0,1.0,34.0,-1.0,7.0,0.0,4.0,0.0,1.0,-1.0,,,9.0,2.0,Internet,UK,,,40.0,38.0,2.0,29.0,35.0,-6.0,15.0,23.0,-8.0,,,,,,,To what extent do you feel favourably or unfavourably towards…,44.0,30.0,,,,Which of the following politicians do you think would make the best PM?,37.0,38.0,-1.0,To what extent do you feel favourably or unfavourably towards…,,,,
,Apr,16-22,16/4/21,26,Ipsos,ES,40.0,-5.0,37.0,-1.0,8.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,3.0,-4.0,Phone,,,,44.0,50.0,-6.0,36.0,46.0,-10.0,18.0,38.0,-20.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,44.0,51.0,-7.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,
,Apr,17-19,17/4/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,43.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,19,19/4/21,19,R+W,,44.0,1.0,34.0,-2.0,10.0,3.0,4.0,-1.0,3.0,0.0,,,10.0,3.0,Internet,,,,47.0,32.0,15.0,30.0,28.0,2.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",47.0,28.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Apr,21-22,21/4/21,23,YouGov,TT,44.0,1.0,34.0,5.0,5.0,-3.0,7.0,-1.0,2.0,-1.0,,,10.0,-4.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,21-23,21/4/21,25,Opinium,Ob,44.0,-1.0,33.0,-3.0,7.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,11.0,2.0,Internet,,,,41.0,40.0,1.0,33.0,32.0,1.0,17.0,21.0,-4.0,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,35.0,25.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Apr,22-26,22/4/21,,BMG,Ind,39.0,0.0,35.0,-2.0,9.0,0.0,6.0,0.0,3.0,0.0,,,4.0,2.0,Internet,,,,41.0,38.0,3.0,23.0,32.0,-9.0,11.0,19.0,-8.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,40.0,24.0,,,,"If you had to choose between the two, who would you prefer to see as the next Prime Minister?",,,,,,,,
,Apr,22-26,22/4/21,28,Kantar,,41.0,-1.0,33.0,-1.0,10.0,1.0,7.0,3.0,3.0,1.0,1.0,0.0,8.0,0.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,23-25,23/4/21,28,Savanta ComRes,,42.0,-1.0,35.0,1.0,8.0,1.0,3.0,-1.0,2.0,1.0,,,7.0,-2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,24-26,24/4/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,43.0,-7.0,Do you approve or disapprove of the Government's record to date?,,,,
,Apr,26,26/4/21,26,R+W,,44.0,0.0,34.0,0.0,8.0,-2.0,4.0,0.0,3.0,0.0,,,10.0,0.0,Internet,,,,44.0,35.0,9.0,31.0,32.0,-1.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",46.0,29.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Apr,27-28,27/4/21,29,YouGov,TT,44.0,0.0,33.0,-1.0,7.0,2.0,7.0,0.0,3.0,1.0,,,11.0,1.0,Internet,,,,41.0,52.0,-11.0,30.0,49.0,-19.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Apr,27-29,27/4/21,1,Survation,DM,39.0,-1.0,38.0,4.0,9.0,0.0,6.0,-1.0,,,,,1.0,-5.0,Internet,UK,,,39.0,46.0,-7.0,33.0,37.0,-4.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,41.0,33.0,,,,Which of the following party leaders do you think would make the best PM?,39.0,42.0,-3.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,Apr,28-29,28/4/21,29,NCP,,43.0,1.0,34.0,-3.0,5.0,-2.0,7.0,2.0,2.0,0.0,,,9.0,4.0,Internet,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,28-30,28/4/21,2,Opinium,Ob,42.0,-2.0,37.0,4.0,7.0,0.0,4.0,-1.0,0.0,0.0,2.0,0.0,5.0,-6.0,Internet,,,,37.0,43.0,-6.0,38.0,30.0,8.0,18.0,19.0,-1.0,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,32.0,29.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Apr,29-30,29/4/21,1,Focaldata,ST,40.0,,39.0,,6.0,,4.0,,3.0,,,,1.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,30-2,30/4/21,4,Savanta ComRes,,40.0,-2.0,36.0,1.0,8.0,0.0,4.0,1.0,2.0,0.0,,,4.0,-3.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,1-3,1/5/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,42.0,-4.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,3,3/5/21,3,R+W,,40.0,-4.0,38.0,4.0,7.0,-1.0,5.0,1.0,3.0,0.0,,,2.0,-8.0,Internet,,,,42.0,36.0,6.0,30.0,31.0,-1.0,13.0,22.0,-9.0,,,,17.0,20.0,-3.0,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",45.0,30.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,May,4-5,4/5/21,5,Panelbase,,45.0,,36.0,,6.0,,5.0,,,,,,9.0,,Internet,,,81.0,41.0,39.0,2.0,29.0,36.0,-7.0,12.0,30.0,-18.0,,,,,,,"How good or bad a job do you think X, Y is doing?",,,,,,,,,,,,,,
,May,4-5,4/5/21,6,YouGov,TT,43.0,-1.0,33.0,0.0,7.0,0.0,6.0,-1.0,3.0,0.0,,,10.0,-1.0,Internet,,,,40.0,52.0,-12.0,31.0,50.0,-19.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,May,7-9,7/5/21,11,Savanta ComRes,,42.0,2.0,34.0,-2.0,8.0,0.0,4.0,0.0,2.0,0.0,,,8.0,4.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,7-10,7/5/21,13,Ipsos,,,,,,,,,,,,,,,,Internet,,,,40.0,40.0,0.0,21.0,43.0,-22.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,May,8-10,8/5/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,48.0,47.0,1.0,17.0,65.0,-48.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,40.0,39.0,1.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,10,10/5/21,10,R+W,,45.0,5.0,34.0,-4.0,8.0,1.0,5.0,0.0,2.0,-1.0,,,11.0,9.0,Internet,,,,48.0,31.0,17.0,26.0,33.0,-7.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",50.0,26.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,May,11-12,11/5/21,14,YouGov,TT,45.0,2.0,30.0,-3.0,7.0,0.0,8.0,2.0,2.0,-1.0,,,15.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,13-14,13/5/21,16,Opinium,Ob,44.0,2.0,31.0,-6.0,8.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0,13.0,8.0,Internet,,,,43.0,37.0,6.0,28.0,39.0,-11.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,40.0,23.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,13-15,13/5/21,16,Find Out Now / Electoral Calculus,STel,43.0,,30.0,,11.0,,9.0,,2.0,,,,13.0,,Internet,,MRP poll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,14-16,14/5/21,17,Savanta ComRes,,43.0,1.0,32.0,-2.0,8.0,0.0,5.0,1.0,2.0,0.0,,,11.0,3.0,Internet,UK,,,41.0,35.0,6.0,22.0,40.0,-18.0,16.0,25.0,-9.0,,,,,,,To what extent do you feel favourably or unfavourably towards…,48.0,24.0,,,,Which of the following politicians do you think would make the best PM?,38.0,34.0,4.0,To what extent do you feel favourably or unfavourably towards…,,,,
,May,15-17,15/5/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,40.0,-1.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,17,17/5/21,17,R+W,,42.0,-3.0,33.0,-1.0,10.0,2.0,6.0,1.0,2.0,0.0,,,9.0,-2.0,Internet,,,,44.0,34.0,10.0,23.0,35.0,-12.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",50.0,24.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,May,19-20,19/5/21,21,YouGov,TT,46.0,1.0,28.0,-2.0,8.0,1.0,8.0,0.0,2.0,0.0,,,18.0,3.0,Internet,,,,,,,,,,,,,,,,,,,,40.0,24.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,May,21-23,21/5/21,27,Savanta ComRes,,43.0,0.0,34.0,2.0,9.0,1.0,4.0,-1.0,2.0,0.0,,,9.0,-2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,22-24,22/5/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,44.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,24,24/5/21,24,R+W,,43.0,1.0,33.0,0.0,10.0,0.0,5.0,-1.0,3.0,1.0,,,10.0,1.0,Internet,,,,44.0,36.0,8.0,24.0,35.0,-11.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",47.0,26.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,May,25-26,25/5/21,27,Survation,,44.0,5.0,33.0,-5.0,8.0,-1.0,6.0,0.0,,,,,11.0,10.0,Internet,UK,,,42.0,38.0,4.0,27.0,38.0,-11.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,45.0,28.0,,,,Which of the following party leaders do you think would make the best PM?,41.0,35.0,6.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,May,27-28,27/5/21,28,NCP,,44.0,1.0,32.0,-2.0,7.0,2.0,8.0,1.0,2.0,0.0,,,12.0,3.0,Internet,,,76.0,42.0,45.0,-3.0,23.0,48.0,-25.0,,,,,,,,,,Are you satistfied or dissatisfied with the way X is doing his job as Y?,,,,,,,,,,,,,,
,May,27-28,27/5/21,29,Survation,DM,43.0,-1.0,33.0,0.0,10.0,2.0,5.0,-1.0,,,,,10.0,-1.0,Internet,UK,,,42.0,41.0,1.0,26.0,40.0,-14.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,45.0,29.0,,,,Which of the following party leaders do you think would make the best PM?,40.0,38.0,2.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,May,27-28,27/5/21,29,YouGov,TT,43.0,-3.0,29.0,1.0,8.0,0.0,8.0,0.0,3.0,1.0,,,14.0,-4.0,Internet,,,,42.0,50.0,-8.0,28.0,50.0,-22.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,37.0,25.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,May,27-28,27/5/21,30,Opinium,Ob,42.0,-2.0,36.0,5.0,6.0,-2.0,5.0,-2.0,1.0,1.0,1.0,-1.0,6.0,-7.0,Internet,,,,38.0,43.0,-5.0,29.0,38.0,-9.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,33.0,27.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,May,28-30,28/5/21,3,Savanta ComRes,,42.0,-1.0,32.0,-2.0,9.0,0.0,5.0,1.0,2.0,0.0,,,10.0,1.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,28-3,28/5/21,7,Ipsos,ES,44.0,4.0,35.0,-2.0,6.0,-2.0,7.0,2.0,0.0,-2.0,0.0,-1.0,9.0,6.0,Phone,,,,44.0,47.0,-3.0,22.0,51.0,-29.0,16.0,29.0,-13.0,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,44.0,48.0,-4.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,
,May,29-31,29/5/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,45.0,-9.0,Do you approve or disapprove of the Government's record to date?,,,,
,May,31,31/5/21,31,R+W,,45.0,2.0,34.0,1.0,8.0,-2.0,5.0,0.0,3.0,0.0,,,11.0,1.0,Internet,,,,43.0,36.0,7.0,27.0,37.0,-10.0,14.0,21.0,-7.0,,,,19.0,19.0,0.0,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",48.0,25.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Jun ,1-2,1/6/21,4,Survation,,41.0,-2.0,33.0,0.0,9.0,-1.0,6.0,1.0,,,,,8.0,-2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,2-3,2/6/21,4,YouGov,TT,46.0,3.0,30.0,1.0,6.0,-2.0,9.0,1.0,2.0,1.0,,,16.0,2.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,3-7,3/6/21,10,Kantar,,45.0,4.0,32.0,-1.0,8.0,-2.0,6.0,-1.0,2.0,-1.0,1.0,0.0,13.0,5.0,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,4-6,4/6/21,9,Savanta ComRes,,44.0,2.0,32.0,0.0,8.0,-1.0,5.0,0.0,2.0,0.0,,,12.0,2.0,Internet,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,5-7,5/6/21,,YouGov,,,,,,,,,,,,,,,,Internet,,,,44.0,48.0,-4.0,17.0,61.0,-44.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,37.0,43.0,-6.0,Do you approve or disapprove of the Government's record to date?,,,,
,Jun,7,7/6/21,7,R+W,,43.0,-2.0,36.0,2.0,7.0,-1.0,5.0,0.0,1.0,-2.0,,,7.0,-4.0,Internet,,,,43.0,34.0,9.0,26.0,34.0,-8.0,,,,,,,,,,"To what extent, if at all, do you approve or disapprove of X’s overall job performance since s/he became Y?",48.0,25.0,,,,"At this moment, which of the following individuals do you think would be the better Prime Minister for the United Kingdom?",,,,,,,,
,Jun,7-14,7/6/21,17,NCP,ITV,45.0,1.0,34.0,2.0,5.0,-2.0,7.0,-1.0,3.0,1.0,,,11.0,-1.0,Internet,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun ,9-10,9/6/21,11,YouGov,TT,44.0,-2.0,31.0,1.0,7.0,1.0,9.0,0.0,2.0,0.0,,,13.0,-3.0,Internet,,,,,,,,,,,,,,,,,,,,35.0,26.0,,,,Which of the following do you think would make the best PM?,,,,,,,,
,Jun ,9-10,9/6/21,15,Survation,,42.0,1.0,35.0,2.0,9.0,0.0,5.0,-1.0,,,,,7.0,-1.0,Internet,UK,,,42.0,40.0,2.0,28.0,37.0,-9.0,,,,,,,,,,To what extent do you think favourably or unfavourably towards…,46.0,28.0,,,,Which of the following party leaders do you think would make the best PM?,41.0,37.0,4.0,To what extent do you think favourably or unfavourably towards the performance of the Government?,,,,
,Jun,10-11,10/6/21,13,Opinium,Ob,43.0,1.0,34.0,-2.0,6.0,0.0,7.0,2.0,,,,,9.0,3.0,Internet,,,,41.0,43.0,-2.0,28.0,38.0,-10.0,,,,,,,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,37.0,24.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Jun,10-12,10/6/21,13,Deltapoll,Mos,46.0,1.0,34.0,-2.0,7.0,1.0,5.0,1.0,2.0,-2.0,3.0,1.0,12.0,3.0,Internet,,,,51.0,45.0,6.0,38.0,46.0,-8.0,,,,,,,,,,"Do you think they are doing very well in their job, quite well, quite badly or very badly?",,,,,,,,,,,,,,
