Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,,,,Leader:,Con good,Con bad,Con net,Lab good,Lab bad,Lab net,LD good,LD bad,LD net,BXP/Ref good,BXP/Ref bad,BXP/Ref net,Grn good,Grn bad,Grn net,Question,Con Best PM,Lab Best PM,LD Best PM,Green Best PM,BXP Best PM,Question,Govt good,Govt bad,Govt net,Question,Wisdom of crowds:,Con,Lab,LD
,Feb,15-17,15/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,48.0,38.0,10.0,9.0,80.0,-71.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,34.0,39.0,-5.0,Do you approve or disapprove of the Government's record to date?,,,,
,Feb,19-20,19/2/20,23,Savanta ComRes,SE,47.0,,31.0,,9.0,,4.0,,3.0,,,,16.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,20-21,20/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,42.0,49.0,-7.0,19.0,70.0,-51.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Feb,22-24,22/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,41.0,-7.0,Do you approve or disapprove of the Government's record to date?,,,,
,Feb,28-2,28/2/20,12,Ipsos,,,,,,,,,,,,,,,,Internet,,,,34.0,47.0,-13.0,17.0,65.0,-48.0,,,,,,,,,,To what extent if at all do you have favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Feb,29-2,29/2/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,41.0,-8.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,3-6,3/3/20,8,BMG,Ind,45.0,4.0,28.0,-1.0,11.0,0.0,,,,,,,17.0,5.0,Internet,,,,45.0,43.0,2.0,19.0,64.0,-45.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,,,,,,,,
,Mar,4-5,4/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,42.0,49.0,-7.0,20.0,71.0,-51.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Mar,5-9,5/3/20,11,Kantar,,50.0,,29.0,,11.0,,2.0,,1.0,,1.0,,21.0,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,7-9,7/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,-1.0,Do you approve or disapprove of the Government's record to date?,,,,
,Mar,12-13,12/3/20,15,Opinium,Ob,49.0,2.0,32.0,0.0,6.0,-1.0,5.0,1.0,0.0,-2.0,2.0,,17.0,2.0,Internet,,,,42.0,36.0,6.0,19.0,57.0,-38.0,12.0,24.0,-12.0,21.0,42.0,-21.0,,,,To what extent do you approve or disapprove of the way X is handling his job as Y,42.0,15.0,,,,"Which, if any, of the following people do you think would be the best prime minister?",,,,,,,,
,Mar,12-13,12/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,44.0,46.0,-2.0,20.0,70.0,-50.0,,,,,,,,,,Do you have a favourable or unfavourable opinion of…,,,,,,,,,,,,,,
,Mar,13-16,13/3/20,19,Ipsos,ES,52.0,5.0,30.0,0.0,9.0,-2.0,4.0,-1.0,0.0,-1.0,0.0,0.0,22.0,5.0,Phone,,,,52.0,38.0,14.0,19.0,68.0,-49.0,,,,,,,,,,Are you satisfied or dissatisfied with the way X is doing his/her job as…,,,,,,,48.0,41.0,7.0,Are you satisfied or dissatisfied with the way the Govt is running the country?,,,,
,Mar,14-16,14/3/20,,YouGov,,,,,,,,,,,,,,,,Internet,,,,46.0,42.0,4.0,11.0,75.0,-64.0,,,,,,,,,,Do you think X is doing well or badly as Y?,,,,,,,39.0,35.0,4.0,Do you approve or disapprove of the Government's record to date?,,,,
